"id","page_name","views_count","view_date","language_code","is_mobile","created_at"
1,T-Bank,66,2025-02-23,en,false,2025-04-04 20:01:14.668
2,T-Bank,70,2025-02-23,en,true,2025-04-04 20:01:14.668
3,Tinkoff Bank,27,2025-02-23,en,true,2025-04-04 20:01:14.668
4,Т-Банк,484,2025-02-23,ru,false,2025-04-04 20:01:14.668
5,Тинькофф,78,2025-02-23,ru,false,2025-04-04 20:01:14.668
6,Т-Банк,988,2025-02-23,ru,true,2025-04-04 20:01:14.668
7,Тинькофф банк,25,2025-02-23,ru,true,2025-04-04 20:01:14.668
8,Tinkoff Bank,6,2025-02-23,en,false,2025-04-04 20:01:14.668
9,Тинькофф,31,2025-02-23,ru,true,2025-04-04 20:01:14.668
10,Тинькофф банк,14,2025-02-23,ru,false,2025-04-04 20:01:14.668
11,Tinkoff,2,2025-02-23,de,true,2025-04-04 20:01:14.668
12,Тинькофф Банк,2,2025-02-23,ru,false,2025-04-04 20:01:14.668
13,Tinkoff,2,2025-02-23,de,false,2025-04-04 20:01:14.668
14,Tinkoff,2,2025-02-23,en,false,2025-04-04 20:01:14.668
15,Tinkoff,2,2025-02-23,en,true,2025-04-04 20:01:14.668
16,Tinkoff,1,2025-02-23,fr,false,2025-04-04 20:01:14.668
